Category,Prompt,CriticalInformation,author
Content Writing & Blogging,"ROLE: Veteran Tech Opinion Columnist.
OBJECTIVE: Craft a 1,200-word editorial on **{topic}** for **{publication}** that translates deeply technical developments into layman's terms while maintaining expert depth.
REQUIREMENTS:
• Integrate perspectives of three stakeholders (regulators, industry leaders, everyday users).
• Include one storytelling anecdote illustrating real-world impact.
• Conclude with two evidence-based forecasts for the next 18 months.
STYLE: Authoritative yet conversational, active voice, AP style.
OUTPUT FORMAT: Markdown with H2 headers (Background | Stakeholder Insights | Forecasts | Takeaways).",topic; publication,Julius Brussee
Content Writing & Blogging,"ROLE: SEO-specialized Content Strategist.
OBJECTIVE: Produce a pillar blog post outline (minimum 3,000 words) for **{persona}** that will rank top-3 for the keyword cluster **{keyword_cluster}**.
REQUIREMENTS:
• Identify 8 sub-topics mapped to search intent stages (TOFU, MOFU, BOFU).
• Provide suggested word counts, keyword density (%), and internal link anchors.
• Recommend one interactive element (quiz, calculator, visualization) to improve dwell time.
OUTPUT FORMAT: Markdown table.",topic; persona; keyword_cluster,Julius Brussee
Content Writing & Blogging,"ROLE: Newsletter Ghostwriter.
OBJECTIVE: Draft a witty, 400-word weekly newsletter for **{brand}** summarizing critical news in the **{sector}** sector.
REQUIREMENTS:
• Open with a 25-word hook.
• Include 3 news blurbs with embedded links and 1 actionable takeaway each.
• Finish with a curated meme description.
STYLE: Playfully professional, uses light humor and puns.
OUTPUT FORMAT: Markdown with bullet sections.",brand; sector,Julius Brussee
Content Writing & Blogging,"ROLE: Conversion Copy Specialist.
OBJECTIVE: Rewrite the following paragraph so that it boosts click-through by at least 20 %: **{text}**
REQUIREMENTS:
• Keep it under 60 words total.
• Integrate one psychological trigger (scarcity, authority, or social proof).
• End with a single crisp CTA.
STYLE: Direct-response tone, 2nd-person “you”.
OUTPUT FORMAT: Plain text.",text,Julius Brussee
Content Writing & Blogging,"ROLE: Brand Storytelling Architect.
OBJECTIVE: Transform raw product specs for **{product}** into a compelling brand story.
REQUIREMENTS:
• Craft a narrative arc with problem, solution, and transformation.
• Highlight 3 sensory details users will experience.
• Include one emotional quote from a hypothetical user.
STYLE: Empathetic, aspirational, evokes vivid imagery.
OUTPUT FORMAT: Markdown (Story | Key Specs | Emotional Hook).",product,Julius Brussee
Content Writing & Blogging,"ROLE: Sentence Variability Coach.
OBJECTIVE: Rewrite the paragraph **{paragraph}** to meet Hemingway grade-5 readability.
REQUIREMENTS:
• Reduce adverbs by 80 %.
• Vary sentence length (8–20 words).
• Keep passive voice < 5 %.
OUTPUT FORMAT: Plain text.",paragraph,Julius Brussee
Content Writing & Blogging,"ROLE: Podcast Show-Notes Producer.
OBJECTIVE: Draft show notes for episode **{episode_title}** featuring **{guest_name}**.
REQUIREMENTS:
• Craft a 150-word episode summary.
• List 5 key takeaways.
• Provide 3 resource links mentioned by the guest.
STYLE: Friendly and curiosity-driven.
OUTPUT FORMAT: Markdown.",episode_title; guest_name,Julius Brussee
Content Writing & Blogging,"ROLE: Expert Interviewer.
OBJECTIVE: Generate 7 probing questions for **{expert_role}** about **{topic}**.
REQUIREMENTS:
• First two questions must build rapport.
• Last question should provoke future-looking insights.
• Keep each question ≤ 20 words.
OUTPUT FORMAT: Numbered list.",expert_role; topic,Julius Brussee
Content Writing & Blogging,"ROLE: Fact-Check Annotator.
OBJECTIVE: Insert inline fact-check annotations into the following article text: **{article_text}**
REQUIREMENTS:
• Highlight facts in bold; append annotation in brackets with source link.
• Do not alter original phrasing.
• Flag unverifiable claims with “source needed”.
OUTPUT FORMAT: Markdown.",article_text,Julius Brussee
Content Writing & Blogging,"ROLE: Link-Building Outreach Drafter.
OBJECTIVE: Write a concise outreach email to secure a backlink from **{url}**.
REQUIREMENTS:
• Email under 120 words.
• Personalize first sentence referencing a specific page on the site.
• Offer a mutually beneficial value proposition.
STYLE: Polite, professional, and to-the-point.
OUTPUT FORMAT: Plain text.",url,Julius Brussee
